Date,LastTradePrice,Max,Min,AvgPrice,Volume
2016-12-06,147.49,148.21,145.07,146.64,3388
2016-12-07,117.45,122.31,112.18,117.25,5039
2016-12-08,141.77,147.87,133.02,140.44,3739
2016-12-09,147.07,150.06,140.72,145.39,3941
2016-12-12,194.79,194.84,185.62,190.23,8244
2016-12-13,119.84,122.83,117.97,120.4,7207
2016-12-14,168.0,175.56,159.29,167.43,6900
2016-12-15,158.95,162.46,154.86,158.66,9430
2016-12-16,193.56,202.22,186.82,194.52,6252
2016-12-19,115.9,122.85,113.84,118.34,2170
2016-12-20,187.29,189.22,179.13,184.18,9652
2016-12-21,154.36,162.14,145.55,153.84,6355
2016-12-22,164.64,174.54,158.71,166.62,2436
2016-12-23,122.66,123.37,118.99,121.18,4630
2016-12-26,132.3,134.21,123.18,128.69,9769
2016-12-27,150.58,153.17,142.07,147.62,9496
2016-12-28,116.81,123.37,112.24,117.81,2432
2016-12-29,145.66,154.3,137.67,145.99,6231
2016-12-30,117.11,122.56,111.67,117.12,2223
2017-01-02,158.28,164.08,150.67,157.38,8687
2017-01-03,154.81,157.81,150.13,153.97,8923
2017-01-04,141.59,149.8,139.71,144.75,8999
2017-01-05,198.93,203.26,191.29,197.27,6948
2017-01-06,157.9,160.87,151.06,155.97,4263
2017-01-09,170.6,177.64,163.69,170.66,1745
2017-01-10,159.45,167.21,149.64,158.43,3184
2017-01-11,121.94,124.38,118.69,121.53,6373
2017-01-12,101.26,106.22,98.81,102.52,5339
2017-01-13,185.5,191.72,181.65,186.69,5998
2017-01-16,175.17,185.1,165.99,175.55,2638
2017-01-17,194.31,202.05,194.27,198.16,8850
